,note_name,start_time,duration,velocity,tempo
390,B4,102.01,6/25,96,124
391,B3,102.01,37/50,96,124
392,E2,102.01,99/100,88,124
393,E3,102.01,6/25,96,124
394,G#4,102.26,6/25,96,124
395,G#3,102.26,49/100,96,124
396,E4,102.51,6/25,96,124
397,E3,102.51,49/100,96,124
398,B4,102.76,6/25,96,124
399,B3,102.76,6/25,96,124
400,E-6,103.01,99/100,120,124
401,C#5,103.01,6/25,96,124
402,C#4,103.01,37/50,96,124
403,F#2,103.01,99/100,88,124
404,F#3,103.01,6/25,96,124
405,B-4,103.26,6/25,96,124
406,B-3,103.26,49/100,96,124
407,F#4,103.51,6/25,96,124
408,F#3,103.51,49/100,96,124
409,C#5,103.76,6/25,96,124
410,C#4,103.76,6/25,96,124
411,E2,104.01,399/100,96,124
412,E3,104.01,99/100,104,124
413,G#4,105.01,99/100,104,124
414,E-4,105.01,99/100,104,124
415,B3,105.01,99/100,83,124
416,B2,105.01,99/100,83,124
417,G#4,105.01,99/100,83,124
418,F#5,106.01,99/100,120,124
419,F#5,106.01,99/100,88,124
420,B-3,106.01,49/100,80,124
421,B-2,106.01,49/100,80,124
422,G#4,106.51,99/100,104,124
423,E-4,106.51,99/100,104,124
424,B3,106.51,99/100,80,124
425,B2,106.51,99/100,80,124
426,E5,107.01,49/100,120,124
427,E5,107.01,49/100,88,124
428,E-5,107.51,49/100,120,124
429,E-5,107.51,49/100,88,124
430,B3,107.51,49/100,80,124
431,B2,107.51,49/100,80,124
432,E-5,108.0,1.0,120,124
433,E-5,108.0,1.0,88,124
434,F#2,108.01,399/100,96,124
435,F#3,108.01,99/100,64,124
436,C#5,109.01,99/100,88,124
437,C#5,109.01,99/100,109,124
438,G#4,109.01,99/100,109,124
439,E-4,109.01,99/100,109,124
440,B-3,109.01,49/100,80,124
441,B-2,109.01,49/100,80,124
442,C#4,109.51,99/100,80,124
443,C#3,109.51,99/100,80,124
444,B4,110.01,99/100,120,124
445,B4,110.01,99/100,88,124
446,F#4,110.51,99/100,104,124
447,C#4,110.51,99/100,104,124
448,B3,110.51,99/100,80,124
449,B2,110.51,99/100,80,124
450,B-4,111.01,99/100,120,124
451,B-4,111.01,99/100,88,124
452,B-3,111.51,49/100,80,124
453,B-2,111.51,49/100,80,124
454,F#4,112.01,99/100,112,124
455,G#2,112.01,399/100,96,124
456,G#3,112.01,99/100,76,124
457,F#4,112.01,99/100,76,124
